date,product,units_sold,unit_price,cogs_per_unit,fulfilment_cost_per_unit,marketing_spend,returns_rate,revenue,cogs,returns_cost,fulfilment_cost,gross_profit,net_profit,month
2023-01-05,Product D,21,90,48,7,236.58,0.014,1890,1008,26.46,147,882,471.9599999999999,2023-01
2023-01-06,Product A,94,25,13,3,300.76,0.054,2350,1222,126.89999999999999,282,1128,418.34000000000003,2023-01
2023-01-06,Product B,71,40,23,4,317.06,0.045,2840,1633,127.8,284,1207,478.14000000000004,2023-01
2023-01-06,Product C,33,60,32,5,279.3,0.024,1980,1056,47.52,165,924,432.18,2023-01
2023-01-06,Product D,22,90,48,7,249.97,0.02,1980,1056,39.6,154,924,480.42999999999995,2023-01
2023-01-07,Product A,70,25,13,3,359.22,0.078,1750,910,136.5,210,840,134.27999999999997,2023-01
2023-01-07,Product B,60,40,23,4,325.69,0.049,2400,1380,117.60000000000001,240,1020,336.71,2023-01
2023-01-07,Product C,28,60,32,5,250.53,0.021,1680,896,35.28,140,784,358.19000000000005,2023-01
2023-01-07,Product D,20,90,48,7,182.28,0.011,1800,960,19.799999999999997,140,840,497.9200000000001,2023-01
2023-01-08,Product A,81,25,13,3,310.9,0.082,2025,1053,166.05,243,972,252.05000000000007,2023-01
2023-01-08,Product B,57,40,23,4,343.29,0.038,2280,1311,86.64,228,969,311.07,2023-01
2023-01-08,Product C,24,60,32,5,301.3,0.015,1440,768,21.599999999999998,120,672,229.09999999999997,2023-01
2023-01-08,Product D,18,90,48,7,217.92,0.017,1620,864,27.540000000000003,126,756,384.5400000000001,2023-01
2023-01-09,Product A,100,25,13,3,264.19,0.07,2500,1300,175.00000000000003,300,1200,460.81,2023-01
2023-01-09,Product B,43,40,23,4,269.99,0.047,1720,989,80.84,172,731,208.16999999999996,2023-01
2023-01-09,Product C,39,60,32,5,283.53,0.032,2340,1248,74.88,195,1092,538.59,2023-01
2023-01-09,Product D,18,90,48,7,195.75,0.022,1620,864,35.64,126,756,398.61,2023-01
2023-01-10,Product A,71,25,13,3,316.39,0.065,1775,923,115.375,213,852,207.235,2023-01
2023-01-10,Product B,56,40,23,4,354.94,0.057,2240,1288,127.68,224,952,245.37999999999994,2023-01
2023-01-10,Product C,33,60,32,5,254.79,0.021,1980,1056,41.580000000000005,165,924,462.63,2023-01
2023-01-10,Product D,22,90,48,7,241.99,0.018,1980,1056,35.64,154,924,492.37,2023-01
2023-01-11,Product A,93,25,13,3,341.18,0.075,2325,1209,174.375,279,1116,321.445,2023-01
2023-01-11,Product B,51,40,23,4,311.6,0.058,2040,1173,118.32000000000001,204,867,233.07999999999993,2023-01
2023-01-11,Product C,27,60,32,5,319.01,0.015,1620,864,24.3,135,756,277.69000000000005,2023-01
2023-01-11,Product D,19,90,48,7,273.65,0.023,1710,912,39.33,133,798,352.02,2023-01
2023-01-12,Product A,84,25,13,3,350.76,0.075,2100,1092,157.5,252,1008,247.74,2023-01
2023-01-12,Product B,60,40,23,4,309.17,0.036,2400,1380,86.39999999999999,240,1020,384.43,2023-01
2023-01-12,Product C,27,60,32,5,335.05,0.033,1620,864,53.46,135,756,232.48999999999995,2023-01
2023-01-12,Product D,18,90,48,7,203.58,0.016,1620,864,25.92,126,756,400.5,2023-01
2023-01-13,Product A,80,25,13,3,424.27,0.081,2000,1040,162.0,240,960,133.73000000000002,2023-01
2023-01-13,Product B,56,40,23,4,292.88,0.05,2240,1288,112.0,224,952,323.12,2023-01
2023-01-13,Product C,32,60,32,5,264.63,0.033,1920,1024,63.36,160,896,408.01,2023-01
2023-01-13,Product D,20,90,48,7,244.01,0.019,1800,960,34.199999999999996,140,840,421.78999999999996,2023-01
2023-01-14,Product A,67,25,13,3,227.65,0.066,1675,871,110.55000000000001,201,804,264.79999999999995,2023-01
2023-01-14,Product B,56,40,23,4,297.22,0.04,2240,1288,89.60000000000001,224,952,341.17999999999995,2023-01
2023-01-14,Product C,32,60,32,5,217.63,0.019,1920,1024,36.48,160,896,481.89,2023-01
2023-01-14,Product D,23,90,48,7,183.77,0.02,2070,1104,41.4,161,966,579.83,2023-01
2023-01-15,Product A,73,25,13,3,362.84,0.057,1825,949,104.025,219,876,190.13500000000005,2023-01
2023-01-15,Product B,62,40,23,4,368.34,0.038,2480,1426,94.24,248,1054,343.42,2023-01
2023-01-15,Product C,44,60,32,5,221.78,0.015,2640,1408,39.6,220,1232,750.62,2023-01
2023-01-15,Product D,21,90,48,7,250.86,0.018,1890,1008,34.019999999999996,147,882,450.12,2023-01
2023-01-16,Product A,100,25,13,3,382.33,0.076,2500,1300,190.0,300,1200,327.67,2023-01
2023-01-16,Product B,44,40,23,4,328.15,0.039,1760,1012,68.64,176,748,175.21000000000004,2023-01
2023-01-16,Product C,30,60,32,5,257.99,0.031,1800,960,55.8,150,840,376.21000000000004,2023-01
2023-01-16,Product D,17,90,48,7,246.3,0.013,1530,816,19.89,119,714,328.81,2023-01
2023-01-17,Product A,72,25,13,3,241.71,0.062,1800,936,111.6,216,864,294.68999999999994,2023-01
2023-01-17,Product B,49,40,23,4,302.37,0.06,1960,1127,117.6,196,833,217.02999999999997,2023-01
2023-01-17,Product C,34,60,32,5,317.66,0.032,2040,1088,65.28,170,952,399.06,2023-01
2023-01-17,Product D,18,90,48,7,214.55,0.022,1620,864,35.64,126,756,379.81,2023-01
2023-01-18,Product A,76,25,13,3,324.05,0.064,1900,988,121.60000000000001,228,912,238.34999999999997,2023-01
2023-01-18,Product B,73,40,23,4,249.6,0.045,2920,1679,131.4,292,1241,568.0,2023-01
2023-01-18,Product C,34,60,32,5,290.83,0.027,2040,1088,55.08,170,952,436.09,2023-01
2023-01-18,Product D,23,90,48,7,190.26,0.019,2070,1104,39.33,161,966,575.41,2023-01
2023-01-19,Product A,88,25,13,3,370.02,0.082,2200,1144,180.4,264,1056,241.58000000000004,2023-01
2023-01-19,Product B,48,40,23,4,367.78,0.04,1920,1104,76.8,192,816,179.42000000000007,2023-01
2023-01-19,Product C,22,60,32,5,257.78,0.015,1320,704,19.8,110,616,228.42000000000002,2023-01
2023-01-19,Product D,17,90,48,7,227.84,0.019,1530,816,29.07,119,714,338.0899999999999,2023-01
2023-01-20,Product A,101,25,13,3,319.33,0.074,2525,1313,186.85,303,1212,402.82,2023-01
2023-01-20,Product B,65,40,23,4,217.26,0.04,2600,1495,104.0,260,1105,523.74,2023-01
2023-01-20,Product C,29,60,32,5,249.09,0.027,1740,928,46.98,145,812,370.92999999999995,2023-01
2023-01-20,Product D,20,90,48,7,222.07,0.023,1800,960,41.4,140,840,436.53000000000003,2023-01
2023-01-21,Product A,75,25,13,3,317.19,0.081,1875,975,151.875,225,900,205.935,2023-01
2023-01-21,Product B,57,40,23,4,196.33,0.058,2280,1311,132.24,228,969,412.42999999999995,2023-01
2023-01-21,Product C,26,60,32,5,310.86,0.031,1560,832,48.36,130,728,238.77999999999997,2023-01
2023-01-21,Product D,17,90,48,7,206.88,0.016,1530,816,24.48,119,714,363.64,2023-01
2023-01-22,Product A,69,25,13,3,386.96,0.067,1725,897,115.575,207,828,118.46500000000003,2023-01
2023-01-22,Product B,46,40,23,4,229.58,0.042,1840,1058,77.28,184,782,291.14,2023-01
2023-01-22,Product C,31,60,32,5,275.97,0.024,1860,992,44.64,155,868,392.39,2023-01
2023-01-22,Product D,24,90,48,7,246.01,0.018,2160,1152,38.879999999999995,168,1008,555.11,2023-01
2023-01-23,Product A,76,25,13,3,303.3,0.076,1900,988,144.4,228,912,236.3,2023-01
2023-01-23,Product B,42,40,23,4,349.13,0.057,1680,966,95.76,168,714,101.11000000000001,2023-01
2023-01-23,Product C,28,60,32,5,230.97,0.021,1680,896,35.28,140,784,377.75,2023-01
2023-01-23,Product D,18,90,48,7,312.13,0.013,1620,864,21.06,126,756,296.81000000000006,2023-01
2023-01-24,Product A,76,25,13,3,357.32,0.054,1900,988,102.6,228,912,224.07999999999998,2023-01
2023-01-24,Product B,51,40,23,4,390.62,0.051,2040,1173,104.03999999999999,204,867,168.34000000000003,2023-01
2023-01-24,Product C,27,60,32,5,284.83,0.031,1620,864,50.22,135,756,285.95,2023-01
2023-01-24,Product D,16,90,48,7,161.87,0.011,1440,768,15.84,112,672,382.28999999999996,2023-01
2023-01-25,Product A,88,25,13,3,362.46,0.087,2200,1144,191.39999999999998,264,1056,238.14000000000004,2023-01
2023-01-25,Product B,65,40,23,4,301.49,0.048,2600,1495,124.8,260,1105,418.71000000000004,2023-01
2023-01-25,Product C,32,60,32,5,224.22,0.021,1920,1024,40.32,160,896,471.4599999999999,2023-01
2023-01-25,Product D,19,90,48,7,257.29,0.015,1710,912,25.65,133,798,382.06,2023-01
2023-01-26,Product A,77,25,13,3,434.56,0.067,1925,1001,128.975,231,924,129.46499999999997,2023-01
2023-01-26,Product B,69,40,23,4,254.07,0.031,2760,1587,85.56,276,1173,557.3700000000001,2023-01
2023-01-26,Product C,38,60,32,5,251.44,0.035,2280,1216,79.80000000000001,190,1064,542.76,2023-01
2023-01-26,Product D,22,90,48,7,305.94,0.013,1980,1056,25.74,154,924,438.32,2023-01
2023-01-27,Product A,75,25,13,3,421.34,0.083,1875,975,155.625,225,900,98.03500000000003,2023-01
2023-01-27,Product B,61,40,23,4,389.79,0.059,2440,1403,143.95999999999998,244,1037,259.24999999999994,2023-01
2023-01-27,Product C,34,60,32,5,228.07,0.017,2040,1088,34.68,170,952,519.25,2023-01
2023-01-27,Product D,18,90,48,7,261.59,0.015,1620,864,24.3,126,756,344.11000000000007,2023-01
2023-01-28,Product A,91,25,13,3,460.8,0.084,2275,1183,191.10000000000002,273,1092,167.09999999999997,2023-01
2023-01-28,Product B,66,40,23,4,358.46,0.056,2640,1518,147.84,264,1122,351.7,2023-01
2023-01-28,Product C,30,60,32,5,227.32,0.015,1800,960,27.0,150,840,435.68,2023-01
2023-01-28,Product D,19,90,48,7,246.12,0.012,1710,912,20.52,133,798,398.36,2023-01
2023-01-29,Product A,86,25,13,3,444.65,0.054,2150,1118,116.1,258,1032,213.25,2023-01
2023-01-29,Product B,59,40,23,4,248.67,0.049,2360,1357,115.64,236,1003,402.69000000000005,2023-01
2023-01-29,Product C,28,60,32,5,257.37,0.024,1680,896,40.32,140,784,346.30999999999995,2023-01
2023-01-29,Product D,26,90,48,7,244.79,0.014,2340,1248,32.76,182,1092,632.45,2023-01
2023-01-30,Product A,91,25,13,3,344.05,0.089,2275,1183,202.475,273,1092,272.47499999999997,2023-01
2023-01-30,Product B,51,40,23,4,372.19,0.036,2040,1173,73.44,204,867,217.36999999999995,2023-01
2023-01-30,Product C,34,60,32,5,313.17,0.017,2040,1088,34.68,170,952,434.15000000000003,2023-01
2023-01-30,Product D,23,90,48,7,169.92,0.022,2070,1104,45.54,161,966,589.5400000000001,2023-01
2023-01-31,Product A,78,25,13,3,236.63,0.078,1950,1014,152.1,234,936,313.27,2023-01
2023-01-31,Product B,64,40,23,4,297.61,0.051,2560,1472,130.56,256,1088,403.83000000000004,2023-01
2023-01-31,Product C,32,60,32,5,232.72,0.031,1920,1024,59.519999999999996,160,896,443.76,2023-01
2023-01-31,Product D,20,90,48,7,197.36,0.022,1800,960,39.599999999999994,140,840,463.03999999999996,2023-01
2023-02-01,Product A,96,25,13,3,317.89,0.071,2400,1248,170.39999999999998,288,1152,375.71000000000004,2023-02
2023-02-01,Product B,52,40,23,4,275.81,0.04,2080,1196,83.2,208,884,316.98999999999995,2023-02
2023-02-01,Product C,31,60,32,5,277.45,0.016,1860,992,29.76,155,868,405.79,2023-02
2023-02-01,Product D,21,90,48,7,242.65,0.016,1890,1008,30.240000000000002,147,882,462.11,2023-02
2023-02-02,Product A,86,25,13,3,412.83,0.086,2150,1118,184.89999999999998,258,1032,176.27000000000004,2023-02
2023-02-02,Product B,57,40,23,4,369.0,0.057,2280,1311,129.96,228,969,242.03999999999996,2023-02
2023-02-02,Product C,31,60,32,5,245.18,0.018,1860,992,33.48,155,868,434.34,2023-02
2023-02-02,Product D,12,90,48,7,232.13,0.011,1080,576,11.879999999999999,84,504,175.99,2023-02
2023-02-03,Product A,85,25,13,3,273.02,0.075,2125,1105,159.375,255,1020,332.605,2023-02
2023-02-03,Product B,54,40,23,4,403.84,0.056,2160,1242,120.96000000000001,216,918,177.2,2023-02
2023-02-03,Product C,31,60,32,5,262.08,0.016,1860,992,29.76,155,868,421.16,2023-02
2023-02-03,Product D,20,90,48,7,118.63,0.01,1800,960,18.0,140,840,563.37,2023-02
2023-02-04,Product A,97,25,13,3,287.61,0.085,2425,1261,206.12500000000003,291,1164,379.265,2023-02
2023-02-04,Product B,73,40,23,4,318.25,0.047,2920,1679,137.24,292,1241,493.51,2023-02
2023-02-04,Product C,36,60,32,5,214.28,0.035,2160,1152,75.60000000000001,180,1008,538.12,2023-02
2023-02-04,Product D,17,90,48,7,234.77,0.016,1530,816,24.48,119,714,335.75,2023-02
2023-02-05,Product A,98,25,13,3,276.34,0.083,2450,1274,203.35000000000002,294,1176,402.31,2023-02
2023-02-05,Product B,69,40,23,4,228.0,0.043,2760,1587,118.67999999999999,276,1173,550.32,2023-02
2023-02-05,Product C,39,60,32,5,350.1,0.016,2340,1248,37.44,195,1092,509.4599999999999,2023-02
2023-02-05,Product D,20,90,48,7,305.39,0.021,1800,960,37.800000000000004,140,840,356.81000000000006,2023-02
2023-02-06,Product A,93,25,13,3,366.87,0.069,2325,1209,160.425,279,1116,309.70500000000004,2023-02
2023-02-06,Product B,55,40,23,4,369.6,0.038,2200,1265,83.6,220,935,261.79999999999995,2023-02
2023-02-06,Product C,34,60,32,5,206.64,0.034,2040,1088,69.36,170,952,506.0,2023-02
2023-02-06,Product D,22,90,48,7,204.97,0.023,1980,1056,45.54,154,924,519.49,2023-02
2023-02-07,Product A,76,25,13,3,310.23,0.081,1900,988,153.9,228,912,219.87,2023-02
2023-02-07,Product B,52,40,23,4,313.95,0.035,2080,1196,72.80000000000001,208,884,289.25000000000006,2023-02
2023-02-07,Product C,31,60,32,5,254.12,0.027,1860,992,50.22,155,868,408.65999999999997,2023-02
2023-02-07,Product D,27,90,48,7,200.62,0.012,2430,1296,29.16,189,1134,715.22,2023-02
2023-02-08,Product A,91,25,13,3,447.7,0.059,2275,1183,134.225,273,1092,237.075,2023-02
2023-02-08,Product B,50,40,23,4,222.21,0.04,2000,1150,80.0,200,850,347.78999999999996,2023-02
2023-02-08,Product C,39,60,32,5,257.77,0.019,2340,1248,44.46,195,1092,594.77,2023-02
2023-02-08,Product D,21,90,48,7,263.26,0.014,1890,1008,26.46,147,882,445.28,2023-02
2023-02-09,Product A,72,25,13,3,331.02,0.054,1800,936,97.2,216,864,219.77999999999997,2023-02
2023-02-09,Product B,61,40,23,4,347.84,0.058,2440,1403,141.52,244,1037,303.64000000000004,2023-02
2023-02-09,Product C,26,60,32,5,359.72,0.019,1560,832,29.64,130,728,208.64,2023-02
2023-02-09,Product D,23,90,48,7,209.84,0.015,2070,1104,31.049999999999997,161,966,564.11,2023-02
2023-02-10,Product A,83,25,13,3,304.66,0.076,2075,1079,157.7,249,996,284.63999999999993,2023-02
2023-02-10,Product B,58,40,23,4,340.89,0.045,2320,1334,104.39999999999999,232,986,308.71000000000004,2023-02
2023-02-10,Product C,29,60,32,5,281.19,0.024,1740,928,41.76,145,812,344.05,2023-02
2023-02-10,Product D,22,90,48,7,262.66,0.017,1980,1056,33.660000000000004,154,924,473.68,2023-02
2023-02-11,Product A,87,25,13,3,329.77,0.07,2175,1131,152.25000000000003,261,1044,300.98,2023-02
2023-02-11,Product B,60,40,23,4,225.76,0.057,2400,1380,136.8,240,1020,417.44000000000005,2023-02
2023-02-11,Product C,26,60,32,5,290.37,0.03,1560,832,46.8,130,728,260.83000000000004,2023-02
2023-02-11,Product D,13,90,48,7,240.28,0.023,1170,624,26.91,91,546,187.80999999999997,2023-02
2023-02-12,Product A,85,25,13,3,294.0,0.065,2125,1105,138.125,255,1020,332.875,2023-02
2023-02-12,Product B,72,40,23,4,352.0,0.055,2880,1656,158.4,288,1224,425.6,2023-02
2023-02-12,Product C,41,60,32,5,271.97,0.018,2460,1312,44.279999999999994,205,1148,626.75,2023-02
2023-02-12,Product D,26,90,48,7,226.46,0.021,2340,1248,49.14,182,1092,634.4,2023-02
2023-02-13,Product A,69,25,13,3,291.7,0.057,1725,897,98.325,207,828,230.97499999999997,2023-02
2023-02-13,Product B,63,40,23,4,262.16,0.034,2520,1449,85.68,252,1071,471.1599999999999,2023-02
2023-02-13,Product C,34,60,32,5,297.11,0.031,2040,1088,63.24,170,952,421.65,2023-02
2023-02-13,Product D,22,90,48,7,151.18,0.014,1980,1056,27.72,154,924,591.0999999999999,2023-02
2023-02-14,Product A,83,25,13,3,333.39,0.084,2075,1079,174.3,249,996,239.31000000000006,2023-02
2023-02-14,Product B,54,40,23,4,380.37,0.05,2160,1242,108.0,216,918,213.63,2023-02
2023-02-14,Product C,33,60,32,5,283.45,0.027,1980,1056,53.46,165,924,422.09,2023-02
2023-02-14,Product D,21,90,48,7,233.34,0.017,1890,1008,32.13,147,882,469.53,2023-02
2023-02-15,Product A,83,25,13,3,298.97,0.075,2075,1079,155.625,249,996,292.405,2023-02
2023-02-15,Product B,62,40,23,4,300.73,0.041,2480,1426,101.68,248,1054,403.5899999999999,2023-02
2023-02-15,Product C,35,60,32,5,244.01,0.029,2100,1120,60.900000000000006,175,980,500.09000000000003,2023-02
2023-02-15,Product D,24,90,48,7,309.54,0.018,2160,1152,38.879999999999995,168,1008,491.58,2023-02
2023-02-16,Product A,110,25,13,3,422.5,0.07,2750,1430,192.50000000000003,330,1320,375.0,2023-02
2023-02-16,Product B,54,40,23,4,347.77,0.034,2160,1242,73.44000000000001,216,918,280.78999999999996,2023-02
2023-02-16,Product C,31,60,32,5,285.23,0.017,1860,992,31.62,155,868,396.15,2023-02
2023-02-16,Product D,27,90,48,7,274.01,0.01,2430,1296,24.3,189,1134,646.69,2023-02
2023-02-17,Product A,87,25,13,3,243.89,0.085,2175,1131,184.875,261,1044,354.235,2023-02
2023-02-17,Product B,46,40,23,4,156.39,0.052,1840,1058,95.67999999999999,184,782,345.93,2023-02
2023-02-17,Product C,27,60,32,5,309.08,0.033,1620,864,53.46,135,756,258.46,2023-02
2023-02-17,Product D,20,90,48,7,210.51,0.011,1800,960,19.799999999999997,140,840,469.69000000000005,2023-02
2023-02-18,Product A,57,25,13,3,403.04,0.087,1425,741,123.975,171,684,-14.015000000000043,2023-02
2023-02-18,Product B,63,40,23,4,237.29,0.059,2520,1449,148.67999999999998,252,1071,433.0300000000001,2023-02
2023-02-18,Product C,29,60,32,5,305.95,0.016,1740,928,27.84,145,812,333.21,2023-02
2023-02-18,Product D,21,90,48,7,117.75,0.02,1890,1008,37.800000000000004,147,882,579.45,2023-02
2023-02-19,Product A,58,25,13,3,289.42,0.082,1450,754,118.9,174,696,113.68,2023-02
2023-02-19,Product B,53,40,23,4,260.04,0.046,2120,1219,97.52,212,901,331.44,2023-02
2023-02-19,Product C,31,60,32,5,256.89,0.031,1860,992,57.66,155,868,398.45000000000005,2023-02
2023-02-19,Product D,31,90,48,7,196.61,0.016,2790,1488,44.64,217,1302,843.7499999999999,2023-02
2023-02-20,Product A,87,25,13,3,401.17,0.084,2175,1131,182.70000000000002,261,1044,199.12999999999994,2023-02
2023-02-20,Product B,68,40,23,4,279.82,0.048,2720,1564,130.56,272,1156,473.62000000000006,2023-02
2023-02-20,Product C,32,60,32,5,278.09,0.018,1920,1024,34.559999999999995,160,896,423.3500000000001,2023-02
2023-02-20,Product D,22,90,48,7,231.4,0.023,1980,1056,45.54,154,924,493.06000000000006,2023-02
2023-02-21,Product A,88,25,13,3,429.06,0.068,2200,1144,149.60000000000002,264,1056,213.33999999999997,2023-02
2023-02-21,Product B,58,40,23,4,274.76,0.037,2320,1334,85.83999999999999,232,986,393.4,2023-02
2023-02-21,Product C,39,60,32,5,320.85,0.028,2340,1248,65.52,195,1092,510.63,2023-02
2023-02-21,Product D,20,90,48,7,227.04,0.023,1800,960,41.4,140,840,431.56000000000006,2023-02
2023-02-22,Product A,97,25,13,3,269.24,0.051,2425,1261,123.675,291,1164,480.08500000000004,2023-02
2023-02-22,Product B,54,40,23,4,324.46,0.057,2160,1242,123.12,216,918,254.42000000000002,2023-02
2023-02-22,Product C,32,60,32,5,255.18,0.023,1920,1024,44.16,160,896,436.66,2023-02
2023-02-22,Product D,24,90,48,7,204.76,0.022,2160,1152,47.519999999999996,168,1008,587.72,2023-02
2023-02-23,Product A,75,25,13,3,415.16,0.054,1875,975,101.25,225,900,158.58999999999997,2023-02
2023-02-23,Product B,75,40,23,4,219.18,0.031,3000,1725,93.0,300,1275,662.8199999999999,2023-02
2023-02-23,Product C,36,60,32,5,253.25,0.027,2160,1152,58.32,180,1008,516.43,2023-02
2023-02-23,Product D,25,90,48,7,255.04,0.017,2250,1200,38.25,175,1050,581.71,2023-02
2023-02-24,Product A,93,25,13,3,432.42,0.074,2325,1209,172.04999999999998,279,1116,232.53000000000003,2023-02
2023-02-24,Product B,70,40,23,4,257.84,0.048,2800,1610,134.4,280,1190,517.76,2023-02
2023-02-24,Product C,29,60,32,5,207.2,0.034,1740,928,59.160000000000004,145,812,400.64000000000004,2023-02
2023-02-24,Product D,21,90,48,7,246.6,0.01,1890,1008,18.900000000000002,147,882,469.5,2023-02
2023-02-25,Product A,83,25,13,3,304.87,0.087,2075,1079,180.52499999999998,249,996,261.605,2023-02
2023-02-25,Product B,60,40,23,4,260.2,0.051,2400,1380,122.39999999999999,240,1020,397.40000000000003,2023-02
2023-02-25,Product C,29,60,32,5,196.63,0.031,1740,928,53.94,145,812,416.42999999999995,2023-02
2023-02-25,Product D,23,90,48,7,251.39,0.016,2070,1104,33.12,161,966,520.49,2023-02
2023-02-26,Product A,84,25,13,3,290.77,0.088,2100,1092,184.79999999999998,252,1008,280.43000000000006,2023-02
2023-02-26,Product B,54,40,23,4,300.94,0.056,2160,1242,120.96000000000001,216,918,280.09999999999997,2023-02
2023-02-26,Product C,27,60,32,5,251.68,0.017,1620,864,27.540000000000003,135,756,341.78000000000003,2023-02
2023-02-26,Product D,16,90,48,7,234.95,0.014,1440,768,20.16,112,672,304.89000000000004,2023-02
2023-02-27,Product A,99,25,13,3,309.76,0.087,2475,1287,215.325,297,1188,365.91499999999996,2023-02
2023-02-27,Product B,62,40,23,4,216.88,0.035,2480,1426,86.80000000000001,248,1054,502.32000000000005,2023-02
2023-02-27,Product C,31,60,32,5,315.83,0.029,1860,992,53.940000000000005,155,868,343.22999999999996,2023-02
2023-02-27,Product D,21,90,48,7,229.81,0.01,1890,1008,18.900000000000002,147,882,486.29,2023-02
2023-02-28,Product A,94,25,13,3,350.39,0.056,2350,1222,131.6,282,1128,364.01,2023-02
2023-02-28,Product B,57,40,23,4,285.23,0.055,2280,1311,125.4,228,969,330.37,2023-02
2023-02-28,Product C,32,60,32,5,214.93,0.03,1920,1024,57.599999999999994,160,896,463.46999999999997,2023-02
2023-02-28,Product D,22,90,48,7,198.27,0.024,1980,1056,47.52,154,924,524.21,2023-02
2023-03-01,Product A,64,25,13,3,394.87,0.07,1600,832,112.00000000000001,192,768,69.13,2023-03
2023-03-01,Product B,52,40,23,4,397.92,0.031,2080,1196,64.48,208,884,213.59999999999997,2023-03
2023-03-01,Product C,34,60,32,5,263.92,0.021,2040,1088,42.84,170,952,475.23999999999995,2023-03
2023-03-01,Product D,20,90,48,7,218.2,0.013,1800,960,23.4,140,840,458.40000000000003,2023-03
2023-03-02,Product A,80,25,13,3,432.47,0.089,2000,1040,178.0,240,960,109.52999999999997,2023-03
2023-03-02,Product B,62,40,23,4,304.48,0.043,2480,1426,106.63999999999999,248,1054,394.88,2023-03
2023-03-02,Product C,35,60,32,5,267.79,0.029,2100,1120,60.900000000000006,175,980,476.31,2023-03
2023-03-02,Product D,20,90,48,7,250.18,0.025,1800,960,45.0,140,840,404.82,2023-03
2023-03-03,Product A,99,25,13,3,380.79,0.08,2475,1287,198.0,297,1188,312.21,2023-03
2023-03-03,Product B,64,40,23,4,353.51,0.042,2560,1472,107.52000000000001,256,1088,370.97,2023-03
2023-03-03,Product C,29,60,32,5,268.53,0.016,1740,928,27.84,145,812,370.63,2023-03
2023-03-03,Product D,19,90,48,7,187.1,0.024,1710,912,41.04,133,798,436.86,2023-03
2023-03-04,Product A,85,25,13,3,229.77,0.064,2125,1105,136.0,255,1020,399.23,2023-03
2023-03-04,Product B,62,40,23,4,309.19,0.05,2480,1426,124.0,248,1054,372.81,2023-03
2023-03-04,Product C,35,60,32,5,370.39,0.021,2100,1120,44.1,175,980,390.51,2023-03
2023-03-04,Product D,20,90,48,7,259.24,0.014,1800,960,25.2,140,840,415.55999999999995,2023-03
2023-03-05,Product A,84,25,13,3,359.31,0.064,2100,1092,134.4,252,1008,262.29,2023-03
2023-03-05,Product B,58,40,23,4,309.68,0.059,2320,1334,136.88,232,986,307.44,2023-03
2023-03-05,Product C,22,60,32,5,297.05,0.034,1320,704,44.88,110,616,164.07,2023-03
2023-03-05,Product D,25,90,48,7,262.14,0.018,2250,1200,40.5,175,1050,572.36,2023-03
2023-03-06,Product A,71,25,13,3,212.23,0.081,1775,923,143.775,213,852,282.995,2023-03
2023-03-06,Product B,59,40,23,4,243.06,0.05,2360,1357,118.0,236,1003,405.94,2023-03
2023-03-06,Product C,34,60,32,5,305.02,0.033,2040,1088,67.32000000000001,170,952,409.65999999999997,2023-03
2023-03-06,Product D,27,90,48,7,184.92,0.016,2430,1296,38.88,189,1134,721.2,2023-03
2023-03-07,Product A,85,25,13,3,290.34,0.05,2125,1105,106.25,255,1020,368.41,2023-03
